Date,Open,High,Low,Close,Adj Close,Volume
2019-09-10,215.720001,215.850006,213.300003,215.850006,213.077103,439600
2019-09-11,216.389999,218.199997,215.940002,218.070007,215.268585,290400
2019-09-12,219.500000,221.000000,218.350006,219.089996,216.275482,1673200
2019-09-13,218.880005,219.000000,217.369995,217.539993,214.745377,284900
2019-09-16,215.869995,217.770004,215.460007,217.330002,214.538086,291000
2019-09-17,217.429993,218.250000,217.009995,218.110001,215.308060,196400
2019-09-18,217.929993,218.289993,215.250000,218.229996,215.426529,277800
2019-09-19,218.839996,220.559998,218.369995,218.720001,215.910233,467400
2019-09-20,219.389999,219.440002,215.550003,216.399994,213.620026,364000
2019-09-23,216.250000,217.529999,215.699997,216.880005,214.093872,296200
2019-09-24,218.139999,219.000000,213.630005,214.429993,211.675323,543100
2019-09-25,214.210007,217.619995,212.229996,216.990005,214.202469,351000
2019-09-26,216.169998,217.039993,214.800003,216.360001,214.404602,262100
2019-09-27,216.600006,216.679993,211.610001,213.220001,211.292984,518600
2019-09-30,214.050003,216.000000,213.699997,215.550003,213.601929,356900
2019-10-01,216.509995,217.910004,213.389999,213.610001,211.679443,522300
2019-10-02,212.179993,212.300003,208.009995,209.610001,207.715607,601600
2019-10-03,209.520004,212.339996,206.919998,212.320007,210.401123,504500
2019-10-04,213.639999,216.119995,213.630005,215.910004,213.958679,397900
2019-10-07,215.169998,216.899994,214.979996,215.229996,213.284805,347200
2019-10-08,213.720001,214.020004,210.940002,211.050003,209.142609,481300
2019-10-09,213.160004,214.839996,212.850006,214.059998,212.125381,362300
2019-10-10,213.960007,216.270004,213.940002,215.350006,213.403748,326800
2019-10-11,217.880005,220.429993,217.880005,218.500000,216.525269,782700
2019-10-14,218.270004,219.259995,218.250000,218.490005,216.515366,283200
2019-10-15,219.119995,221.309998,218.940002,220.759995,218.764847,384900
2019-10-16,219.440002,219.440002,217.979996,218.830002,216.852295,352200
2019-10-17,219.770004,220.160004,217.479996,218.619995,216.644180,326700
2019-10-18,218.190002,218.449997,214.809998,216.309998,214.355057,317700
2019-10-21,217.539993,218.639999,216.889999,218.479996,216.505432,240400
2019-10-22,218.979996,219.669998,215.449997,215.520004,213.572220,353300
2019-10-23,215.000000,216.029999,214.500000,215.740005,213.790207,246700
2019-10-24,218.000000,219.179993,217.360001,219.039993,217.060379,255700
2019-10-25,219.000000,221.809998,219.000000,221.679993,219.676514,274400
2019-10-28,223.220001,224.479996,223.130005,224.220001,222.193573,862500
2019-10-29,224.169998,224.490005,222.399994,222.399994,220.390015,295800
2019-10-30,223.039993,224.100006,221.699997,223.899994,221.876450,348300
2019-10-31,224.380005,224.410004,222.289993,223.639999,221.618820,343200
2019-11-01,224.580002,226.550003,224.130005,226.550003,224.502518,569000
2019-11-04,228.350006,228.449997,227.229996,227.580002,225.523209,370600
2019-11-05,228.229996,228.229996,226.600006,227.360001,225.305206,476800
2019-11-06,227.369995,227.369995,226.029999,227.130005,225.077286,353800
2019-11-07,228.759995,230.229996,228.369995,228.970001,226.900650,442700
2019-11-08,228.270004,230.199997,227.460007,230.199997,228.119522,340800
2019-11-11,228.889999,230.729996,228.610001,230.490005,228.406906,323200
2019-11-12,230.690002,232.000000,230.179993,231.220001,229.130310,386700
2019-11-13,230.229996,231.889999,230.220001,231.740005,229.645615,298200
2019-11-14,230.910004,231.559998,230.300003,231.460007,229.368149,450700
2019-11-15,232.979996,233.399994,232.350006,233.389999,231.280701,320200
2019-11-18,233.279999,234.360001,232.399994,233.940002,231.825729,342000
2019-11-19,234.809998,235.339996,233.660004,234.710007,232.588776,599100
2019-11-20,234.070007,234.949997,231.649994,233.479996,231.369888,809600
2019-11-21,233.270004,233.279999,231.740005,232.210007,230.111359,363000
2019-11-22,232.990005,233.330002,231.190002,232.149994,230.051895,345400
2019-11-25,233.130005,235.600006,232.789993,235.559998,233.431091,2035000
2019-11-26,235.660004,236.320007,235.360001,235.690002,233.559921,461700
2019-11-27,236.490005,237.149994,235.850006,237.149994,235.006699,321500
2019-11-29,236.479996,236.869995,236.080002,236.149994,234.015762,189500
2019-12-02,236.419998,236.490005,231.729996,232.789993,230.686096,515600
2019-12-03,228.990005,231.009995,228.009995,230.940002,228.852829,578900
2019-12-04,232.320007,232.500000,231.410004,231.720001,229.625793,522700
2019-12-05,232.520004,232.759995,231.399994,232.360001,230.260010,354000
2019-12-06,234.199997,235.070007,233.990005,234.910004,232.786957,390100
2019-12-09,234.550003,235.149994,233.580002,233.699997,231.587891,305000
2019-12-10,233.949997,234.770004,233.210007,233.600006,231.488800,730300
2019-12-11,234.199997,235.250000,233.639999,235.139999,233.014862,342100
2019-12-12,234.639999,237.759995,233.880005,237.429993,235.284164,613900
2019-12-13,237.639999,239.500000,236.850006,238.970001,236.810272,540400
2019-12-16,240.009995,241.350006,240.000000,240.460007,238.937714,529300
2019-12-17,240.940002,240.990005,239.570007,240.000000,238.480621,497800
2019-12-18,240.369995,240.929993,239.889999,240.080002,238.560104,406000
2019-12-19,240.320007,241.699997,240.199997,241.660004,240.130112,524600
2019-12-20,243.110001,243.339996,242.470001,243.009995,241.471558,519500
2019-12-23,243.919998,244.320007,243.350006,243.830002,242.286377,430700
2019-12-24,244.100006,244.240005,243.270004,243.850006,242.306259,234600
2019-12-26,244.320007,245.729996,244.320007,245.729996,244.174347,301500
2019-12-27,246.710007,246.750000,244.929993,245.639999,244.084900,349500
2019-12-30,245.500000,245.630005,242.100006,244.179993,242.634140,507000
2019-12-31,243.309998,245.050003,243.000000,244.850006,243.299927,374300
2020-01-02,247.050003,249.360001,246.639999,249.339996,247.761490,1415100
2020-01-03,245.929993,248.389999,245.899994,246.720001,245.158081,1632400
2020-01-06,244.429993,247.630005,243.839996,247.539993,245.972870,524900
2020-01-07,247.869995,248.559998,247.020004,247.509995,245.943069,387200
2020-01-08,247.690002,251.160004,247.380005,250.119995,248.536545,621500
2020-01-09,252.309998,253.020004,251.080002,252.929993,251.328751,576900
2020-01-10,253.960007,254.270004,251.910004,252.380005,250.782257,604400
2020-01-13,253.539993,255.869995,253.389999,255.759995,254.140839,592600
2020-01-14,255.910004,256.190002,254.119995,254.399994,252.789444,965600
2020-01-15,254.690002,255.990005,253.820007,254.610001,252.998123,747800
2020-01-16,256.359985,258.140015,256.019989,258.100006,256.466064,564800
2020-01-17,259.230011,259.769989,257.829987,259.630005,257.986359,541700
2020-01-21,258.880005,260.790009,258.739990,259.250000,257.608765,734800
2020-01-22,261.070007,262.130005,260.070007,260.320007,258.671997,763000
2020-01-23,260.470001,261.609985,259.410004,261.609985,259.953796,464100
2020-01-24,263.489990,263.989990,259.250000,260.260010,258.612366,790800
2020-01-27,254.059998,255.949997,251.440002,254.050003,252.441681,1072300
2020-01-28,256.140015,259.470001,255.679993,258.880005,257.241089,622400
2020-01-29,260.820007,261.369995,258.380005,259.140015,257.499451,648000
2020-01-30,258.880005,261.359985,257.380005,261.209991,259.556335,566300
2020-01-31,259.970001,260.000000,253.270004,254.179993,252.570847,942100
2020-02-03,254.449997,257.890015,254.220001,257.369995,255.740646,974800
2020-02-04,261.730011,264.529999,261.100006,264.100006,262.428070,830100
2020-02-05,268.350006,268.619995,263.450012,265.350006,263.670135,757800
2020-02-06,266.429993,267.480011,265.140015,267.480011,265.786652,518900
